created_date,account_name,campaign_objective,impressions,reach,clicks,link_clicks,content_views,add_to_cart,purchase,purchase_value,amount_spent
2023-01-01,Client A - Fashion,Traffic,915434,81436,92554,15544,0,0,0,0,2357742
2023-01-01,Client A - Fashion,Sales,103328,89200,22100,38038,1199,817,824,3353702,3578529
2023-01-01,Client B - Beauty,Traffic,336015,141082,26321,46107,0,0,0,0,1482711
2023-01-01,Client B - Beauty,Sales,864410,400596,10719,29397,3395,960,591,3470984,4335272
2023-01-01,Client C - Fashion,Traffic,916254,319415,32995,37496,0,0,0,0,1897353
2023-01-01,Client C - Fashion,Sales,354328,145859,96735,37656,4631,883,660,7488363,2596667
2023-01-01,Client D - Beauty,Traffic,398802,312412,53337,39997,0,0,0,0,2916194
2023-01-01,Client D - Beauty,Sales,611751,474542,95019,21756,1828,965,666,2856081,300873
2023-01-01,Client E - FMCG,Traffic,812814,281770,64278,31165,0,0,0,0,497149
2023-01-01,Client E - FMCG,Sales,292882,233460,10536,37077,2977,416,871,5250345,4393697
2023-01-01,Client F - FMCG,Traffic,800756,365581,74938,39395,0,0,0,0,3565444
2023-01-01,Client F - FMCG,Sales,948794,156879,77153,41240,5956,170,263,6858864,3587307
2023-01-02,Client A - Fashion,Traffic,994501,335855,42896,35382,0,0,0,0,2351309
2023-01-02,Client A - Fashion,Sales,265947,324581,39990,38553,1055,595,811,4880172,905174
2023-01-02,Client B - Beauty,Traffic,693535,221143,62169,44965,0,0,0,0,4616928
2023-01-02,Client B - Beauty,Sales,140953,402741,21004,38207,4997,485,648,3653072,2453433
2023-01-02,Client C - Fashion,Traffic,806625,61086,64744,27259,0,0,0,0,4508466
2023-01-02,Client C - Fashion,Sales,347191,191117,50789,37703,1349,519,737,445946,2577918
2023-01-02,Client D - Beauty,Traffic,243038,232593,78687,26629,0,0,0,0,4826732
2023-01-02,Client D - Beauty,Sales,388094,458091,42432,9621,8375,190,217,2232388,4812644
2023-01-02,Client E - FMCG,Traffic,455969,216434,99269,25495,0,0,0,0,4123804
2023-01-02,Client E - FMCG,Sales,295486,322317,92113,40095,3963,953,987,7452878,3879447
2023-01-02,Client F - FMCG,Traffic,169396,334422,31350,14867,0,0,0,0,4143897
2023-01-02,Client F - FMCG,Sales,603862,143400,78341,9541,6710,935,499,1512216,3880174
2023-01-03,Client A - Fashion,Traffic,792301,423359,27099,29393,0,0,0,0,1239732
2023-01-03,Client A - Fashion,Sales,398188,226057,98575,21833,1792,863,310,7590015,2155327
2023-01-03,Client B - Beauty,Traffic,664275,74456,91855,25915,0,0,0,0,1165710
2023-01-03,Client B - Beauty,Sales,350731,319244,42455,38158,4249,323,658,7699337,3234863
2023-01-03,Client C - Fashion,Traffic,568342,244522,80604,42761,0,0,0,0,4634834
2023-01-03,Client C - Fashion,Sales,956960,471631,79700,32354,2531,267,914,1238628,3525401
2023-01-03,Client D - Beauty,Traffic,435326,223693,93123,21563,0,0,0,0,1073220
2023-01-03,Client D - Beauty,Sales,129136,421334,80728,23862,8445,533,325,5141677,771968
2023-01-03,Client E - FMCG,Traffic,909918,224818,81242,21873,0,0,0,0,2469405
2023-01-03,Client E - FMCG,Sales,867106,115880,11450,26669,4147,467,403,5466251,1161413
2023-01-03,Client F - FMCG,Traffic,464489,156751,92274,8065,0,0,0,0,4035139
2023-01-03,Client F - FMCG,Sales,771656,461346,37121,21421,7388,279,605,4026590,4944249
2023-01-04,Client A - Fashion,Traffic,868941,73931,93341,19590,0,0,0,0,3770337
2023-01-04,Client A - Fashion,Sales,562656,107013,29642,40200,2458,543,122,6953781,710471
2023-01-04,Client B - Beauty,Traffic,855120,226357,37336,39875,0,0,0,0,1703408
2023-01-04,Client B - Beauty,Sales,904514,325663,13681,7778,8521,977,58,2399287,3580522
2023-01-04,Client C - Fashion,Traffic,497046,375749,60252,17965,0,0,0,0,2708351
2023-01-04,Client C - Fashion,Sales,850687,367307,57860,5285,9150,514,565,3766926,3890391
2023-01-04,Client D - Beauty,Traffic,224626,74675,22573,43973,0,0,0,0,3825110
2023-01-04,Client D - Beauty,Sales,298653,258955,54640,7755,6009,268,521,6530763,2610728
2023-01-04,Client E - FMCG,Traffic,336053,424789,88777,5272,0,0,0,0,2957512
2023-01-04,Client E - FMCG,Sales,540844,58694,54996,44502,2721,389,807,753429,4461966
2023-01-04,Client F - FMCG,Traffic,786140,218413,37478,5807,0,0,0,0,4892477
2023-01-04,Client F - FMCG,Sales,176808,447687,23897,48885,9931,924,995,2369869,4650348
2023-01-05,Client A - Fashion,Traffic,832140,437837,99732,36842,0,0,0,0,1360714
2023-01-05,Client A - Fashion,Sales,742153,313770,66159,15812,5343,634,267,2808597,209518
2023-01-05,Client B - Beauty,Traffic,934356,189176,91552,47060,0,0,0,0,1106686
2023-01-05,Client B - Beauty,Sales,186261,484022,63002,13366,3063,647,556,342390,2544595
2023-01-05,Client C - Fashion,Traffic,900656,55895,71778,24201,0,0,0,0,2273719
